Indonesia,Javanese,Alphabet
aam,umum; ke. 'am,a
aba,bapa.,a
abad,"1 langgêng, kalanggêngan; 2 jaman 100 taun.",a
abad,adoh.,a
abadi,"langgêng, tanpa wangênan.",a
abadiat,langgêng.,a
abah,ênêr; mengabah: ngênêr.,a
abah-abah,"abah-abah (prabot, piranti).",a
abai,"diabaikan: dirèmèhake, ditampik.",a
abaimana,wêwadining manungsa (dubur lsp.).,a
abang,"kakang, êmbokayu.",a
abantara,kc. bêntara:,a
abar,mengabar: ngênggrêg-ênggrêgi (magoli) laku.,a
abau,bngs. kura.,a
abdi,"abdi, batur.",a
abi,ora prêduli; ora nggape; mengabi: madoni.,a
abid,wêkêl pangibadahe.,a
abid,"langgêng, tanpa wangênan.",a
abilah,"cacar, abilah pêringgi: lara sipilis.",a
abjad,"1 angka ajining aksara arab, kyt. alif = 1, ba = 2; 2 urut-urutaning aksara arab.",a
abnus,kayu arang.,a
aboi,panggêdhe tionghwa.,a
abrak,ar. pêlikan (mica).,a
abu,"i awu, blêdug, bubukan; abu-abu: klawu; mengabui mata: ngapusi. ii bapa.",a
abuan,"(pênang) bageyan, bawon.",a
abuk,"bubukan, bêbrêgan kayu, grajèn.",a
abulhayat,(bapaking ngaurip) udan.,a
abun-abun,"awun-awun, awang-awang.",a
abur,"diabur: diawut-awut, diêcèh-êcèh.",a
abus,"1/10 dhuwit (ora mbêjaji, sathithik bangêt).",a
abyad,putih.,a
acah,mengacah: mbêbêdhung ut. arêp nilapake; kc. acan.,a
acan,"mbêbidhung, gawe gêlar (upamane katone arêp nêmpuh), gêlar nilapake lsp.",a
acang,kongkonan; acang-acang alat: pramugarining pista.,a
acap,"i kacêp, tumancêp amblês. ii acap kali: kêrêp; acap-acap: gêlakan, tanpa lèrèn, rêrikatan; diacapkan: digêlak, dienggalake.",a
acar,acar.,a
acara,"1 prakara (kapradatan); 2 bab kang arêp dirêmbug; beracara: prakaran, lagi dipriksa prakarane; mengacara: mriksa prakara; pêngacara: pokrul.",a
acaram,ali-ali paningkah.,a
acau,"aco, mengacau, mengaco: ndlêming, gunêman tanpa têgês (ngawag, ngawur, lsp.).",a
aci,"aci-aci: mbokmanawa, andak iya; diaci(aci)kan: dianggêp kêlakon, diêjibake yèn kêlakon.",a
acu,"diacu: diacungi gêgaman lsp, diincêng; acuan: cithakan (klêbut lsp.).",a
acuh,"ta'acuh: ora prêduli; ora nggape; diacuhkan: digape, diprêduli.",a
acum,"diacum: dibêbangus, digêgasah, dibêbolèhi.",a
